,name,category,cost,rating,num_of_rates,open_hours,Wi-Fi,Десерт,Паркувальний майданчик для людей на інвалідних візках,Години знижок на їжу,Підходить для сімейного відпочинку,Пізні вечері,Дитяче меню,Є вегетаріанські страви,Дебетові картки,Салат-бар,Пиво,Груповий відпочинок,Органічні страви,Камін,Обіди,Оплата лише готівкою,Халяльна їжа,Затишне місце,Туалет,Невимушена атмосфера,Бар,Туалет із доступом для інвалідів,Високі стільці,Спортивні змагання,"Компанії, якими керують жінки",Мобільні платежі через NFC,Доставка,Місця для сидіння,Підходить для дітей,Вхід для людей на інвалідних візках,Місця для людей на інвалідних візках,Жива музика,Вечері,Сніданки,Кредитні картки,Літній майданчик,Чеки,Вино,Смачні коктейлі
102,Сулугуні,Ресторан грузинської кухні,$$,"4,6",(1 011),11:00–23:00,1,1,1,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,1,0,1,0
103,Fish Dash,Ресторан середземноморської кухні,$$,"4,6",(313),12:00–01:00,1,1,1,1,1,1,0,1,1,0,1,1,1,0,1,0,1,1,1,1,1,0,0,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,0
104,Спотикач,Ресторан української кухні,$$,"4,6",(1 392),11:00–00:00,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
105,Тадіс,Ресторан європейської кухні,$$,"4,1",(358),11:00–23:00,1,1,0,0,1,0,1,0,1,0,1,1,0,0,1,1,0,1,1,1,1,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,1
106,Амстер Дамстер,Ресторан,$$,"4,6",(1 481),10:00–23:00,1,1,0,0,1,1,1,1,1,0,1,1,1,0,1,0,0,1,1,1,1,0,0,0,0,1,0,1,1,0,0,0,1,1,1,1,0,1,1
107,SpicyNoSpicy,Ресторан,$$$,"4,7",(483),12:00–00:00,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1
108,BARVY,Ресторан української кухні,$$,"4,6",(1 956),10:00–23:00,1,1,0,0,1,1,1,0,0,0,0,1,1,0,1,0,0,1,1,1,0,0,0,0,0,0,0,1,1,0,0,1,1,1,1,1,0,1,0
109,Євразія,Ресторан японської кухні,$$,"4,2",(1 122),11:00–23:00,0,0,0,1,0,0,1,1,1,0,1,1,0,0,1,0,0,1,1,1,1,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,1,0
110,Oxota na Ovets / Охота на овец,Ресторан азійської кухні,$$$,"4,6",(1 403),10:00–22:00,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
111,VANO IVANO Megobari,Ресторан грузинської кухні,$$,"4,4",(231),10:00–23:00,0,1,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,1,1,1,1,0,1,0,0,1,0,1,1,0,0,0,1,1,1,1,0,1,0
112,Рішельє,Ресторан,$$$,"4,3",(184),09:00–23:00,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1
113,Mercato Italiano,Ресторан італійської кухні,$$$,"4,4",(681),10:00–23:00,1,1,0,0,1,1,0,1,0,0,1,1,1,0,1,0,0,1,1,1,1,1,1,0,1,0,0,1,1,1,1,0,1,1,1,1,0,1,0
114,Buddha-bar Kyiv,Ресторан,$$$,"4,4",(1 103),Відкрив. о 18:00,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
115,Positano,Піцерія,$$,"4,6",(1 054),09:00–23:00,1,1,1,0,1,0,1,1,1,0,1,1,1,0,1,0,0,1,1,1,0,0,0,0,0,0,0,1,1,1,1,0,1,1,1,1,0,1,1
116,Руккола Олімпійська,Ресторан,$$,"4,1",(507),09:00–00:00,1,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,1,0,1,1,0,1,0,0,0,1,1,1,0,0,0,1,1,0,0,0,1,0
117,РыбаLOVE,Рибний ресторан,$$,"4,5",(686),11:00–22:00,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1
118,Fish Dash,Ресторан середземноморської кухні,$$,"4,6",(313),12:00–01:00,1,1,1,1,1,1,0,1,1,0,1,1,1,0,1,0,1,1,1,1,1,0,0,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,0
119,Рушничок,Ресторан української кухні,$$,"4,1",(373),11:00–23:00,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
120,Старомак,Ресторан чеської кухні,$$,"4,6",(1 552),10:00–00:00,1,1,0,1,1,1,1,1,1,0,1,1,1,0,1,0,0,1,1,1,1,0,0,1,0,0,0,1,1,0,0,1,1,1,1,1,0,1,0
121,Tequila House,Ресторан мексиканської кухні,$$$,"4,4",(1 323),11:00–23:00,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
122,Теремок,Ресторан,$$,"3,9",(34),11:00–04:00,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
123,Тюбетейка,Ресторан узбецької кухні,$$,"4,4",(1 312),11:00–23:00,1,1,0,0,1,0,1,0,1,0,1,1,1,0,1,0,0,1,1,1,1,0,0,1,0,0,1,1,1,0,0,0,1,1,0,1,1,1,1
124,NĂM,Ресторан в'єтнамської кухні,$$$,"4,7",(752),08:00–00:00,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
125,Ті - Арт,Гриль-бар,$$,"4,2",(485),11:00–23:30,0,0,0,0,1,0,1,0,0,0,1,1,1,0,0,1,0,1,0,1,1,0,1,0,0,0,0,1,1,0,0,1,0,0,0,1,0,1,1
126,"Ресто-паб ""Булава""",Паб,$$,"4,2",(75),Відкрито 24 години,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
127,Сушія,Ресторан японської кухні,$$,"4,2",(365),12:00–23:00,0,1,1,0,0,0,1,1,1,0,1,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,1
128,Космополіт,Пивний ресторан,$$,"4,4",(432),11:00–01:00,1,1,1,0,1,1,1,1,0,0,1,1,1,0,1,0,0,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,0,1,1
129,За двома зайцями,Ресторан української кухні,$$$,"4,7",(811),11:00–23:00,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,0,1,0,0,1,0,1,1,0,0,1,1,1,1,1,1,1,0
130,Канапка-бар,Ресторан,$$,"4,7",(1 377),10:00–23:55,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
131,Мон Шер,Ресторан ліванської кухні,$$,"4,6",(2 258),10:00–02:00,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
132,Touch cafe,Ресторан азіатської фьюжн-кухні,$$$,"4,4",(546),12:00–02:00,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
133,Щастя,Ресторан,$$,"4,6",(873),10:00–23:00,1,1,0,0,1,1,1,1,0,0,1,1,0,1,1,0,0,1,1,1,1,0,0,1,0,0,0,1,1,1,0,0,1,1,1,1,0,1,1
134,Prynada Ukrainian Cafe,Ресторан української кухні,$$,"4,6",(1 161),12:00–01:00,0,1,0,0,1,1,1,1,0,0,1,1,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,1,1,1,0,1,0,1,0
135,Fish Dash,Ресторан середземноморської кухні,$$,"4,6",(313),12:00–01:00,1,1,1,1,1,1,0,1,1,0,1,1,1,0,1,0,1,1,1,1,1,0,0,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,0
136,Petrus-ь,Ресторан української кухні,$$,"4,4",(2 106),Відкрито 24 години,1,1,0,1,1,1,0,1,1,0,1,1,1,0,1,0,0,1,1,1,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,1,0,1,0
137,Crab's Burger,Ресторан,$$$,"4,6",(596),11:00–22:00,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1
138,Mon Cher,Ресторан ліванської кухні,$$,"4,6",(1 421),10:00–02:00,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
139,Пян-Се бар,Ресторан,$$,"4,5",(1 549),11:00–23:00,1,1,0,0,1,1,0,1,1,0,1,1,0,0,1,0,0,1,1,1,1,0,1,0,0,0,0,1,1,0,0,0,1,1,0,0,0,1,0
140,Руккола,Ресторан італійської кухні,$$,"4,0",(2 902),09:00–00:00,0,1,0,1,1,1,1,1,1,0,1,1,0,0,1,0,0,1,1,1,1,0,0,0,0,0,1,1,1,0,0,0,1,1,0,0,0,1,0
141,Софра • Смак Криму,Етнічний ресторан,$$,"4,8",(966),11:00–22:00,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
142,Pesto Cafe,Ресторан італійської кухні,$$,"4,5",(1 515),10:00–23:00,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0
143,Руккола,Ресторан італійської кухні,$$,"4,0",(1 001),10:00–23:00,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1
144,Taco House сімейний ресторан мексиканської кухні,Ресторан мексиканської кухні,$$,"4,4",(257),11:00–23:00,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
145,YAK На Крилах,Гриль-бар,$$,"4,5",(1 730),11:00–23:00,1,1,0,0,1,0,1,1,0,0,1,1,0,0,1,0,0,1,1,1,1,0,0,0,0,1,0,1,1,0,0,1,1,0,1,1,0,1,1
146,Козачок,Ресторан,$$,"4,4",(541),08:00–00:00,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1
147,Dogz&Burgerz / Догз&Бургерз,Ресторан,$$,"4,4",(608),10:00–22:00,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
148,Сушія,Ресторан японської кухні,$$,"3,9",(579),10:00–22:00,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0
149,ХУРМА,Ресторан грузинської кухні,$$,"4,2",(1 697),10:00–23:00,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
150,MarketPlaza Меркс,Ресторан,$$,"4,3",(164),08:00–19:00,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0
151,Satori restaurant & bar,Ресторан,$$,"4,7",(392),12:00–00:00,1,1,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,1,1
152,Fish Dash,Ресторан середземноморської кухні,$$,"4,6",(313),12:00–01:00,1,1,1,1,1,1,0,1,1,0,1,1,1,0,1,0,1,1,1,1,1,0,0,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,0
153,Шато де Вандом (Chateau de Vendôme),Ресторан,$$,"4,4",(207),11:00–22:00,1,1,0,1,1,1,0,1,0,0,1,1,1,1,1,0,0,1,1,1,1,0,1,0,0,0,0,1,1,0,0,0,1,0,1,1,0,1,0
154,Мур-мур,Ресторан європейської кухні,$$$,"4,3",(693),12:00–02:00,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
155,Marketplaza,Ресторан,$$,"4,1",(557),08:00–22:00,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,1,0,1,1,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0
156,Ікігаі,Ресторан японської кухні,$$$$,"3,6",(278),12:00–00:00,1,1,1,0,1,1,1,1,1,0,1,1,1,0,1,0,0,1,1,1,1,1,1,0,0,1,0,1,1,1,1,0,1,0,0,1,0,1,0
157,Євразія,Ресторан азійської кухні,$$,"4,2",(1 047),11:00–23:00,0,1,1,1,1,1,1,1,1,0,1,1,1,0,1,0,0,1,1,1,1,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,1,1
158,На-Децу-До-Газди,Етнічний ресторан,$$,"4,5",(936),11:00–23:00,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
159,Ольмека Пляж,Ресторан,$$$,"4,4",(1 349),09:00–23:00,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1
160,Євразія,Ресторан японської кухні,$$,"4,2",(4 636),10:00–05:00,0,1,0,1,1,1,1,1,1,0,1,1,1,0,1,0,0,1,1,1,1,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,1,1
161,Козачок на Совках,Ресторан української кухні,$$,"4,2",(565),10:00–00:00,0,1,0,0,1,1,1,0,0,0,1,1,0,1,1,0,0,1,1,1,1,0,1,1,0,1,0,1,1,0,0,1,1,1,1,0,0,1,1
162,Pesto Cafe,Ресторан італійської кухні,$$,"4,1",(619),10:00–23:00,0,1,1,1,1,0,1,1,0,0,1,1,0,0,1,1,0,1,0,1,1,0,0,0,0,0,1,0,1,1,1,0,1,1,0,0,0,1,0
163,Mafia,Ресторан,$$,"3,9",(2 029),10:00–05:00,0,1,0,1,1,1,1,1,1,0,1,1,0,0,1,0,0,1,1,1,1,0,0,1,0,0,1,1,1,0,0,0,1,1,0,0,1,1,1
164,Fish Dash,Ресторан середземноморської кухні,$$,"4,6",(313),12:00–01:00,1,1,1,1,1,1,0,1,1,0,1,1,1,0,1,0,1,1,1,1,1,0,0,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,0
165,Джунго,Ресторан китайської кухні,$$,"4,1",(150),10:00–22:00,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
166,il Molino,Ресторан,$$,"4,3",(570),11:00–23:00,0,0,1,0,0,1,1,1,0,0,1,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,1,1
167,Sushi-Point,Ресторан суші,$$,"4,1",(102),10:00–22:00,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
168,Сушія,Ресторан японської кухні,$$,"4,2",(1 447),11:00–22:00,0,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0,0,1,1,1,1,0,1,1,0,1,0,1,1,1,0
169,Ozero,Ресторан,$$,"4,3",(682),11:00–23:00,1,1,1,1,1,1,1,1,0,0,1,1,1,0,1,0,0,1,0,1,1,1,0,1,0,0,1,1,1,1,1,1,1,1,1,1,0,1,1
170,Фортеця,Ресторан,$$$,"4,5",(1 349),Відкрито 24 години,0,0,0,0,0,1,1,1,1,0,1,1,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1
171,Євразія,Ресторан японської кухні,$$,"4,2",(6 035),10:00–05:00,0,1,0,1,1,1,1,1,1,0,1,1,1,0,1,1,0,1,1,1,1,0,0,0,0,0,0,1,1,0,0,1,1,0,0,1,0,1,1
172,Гімалаї,Ресторан індійської кухні,$$,"4,4",(1 437),11:00–23:00,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
173,Руккола,Ресторан італійської кухні,$$,"4,1",(1 022),11:00–23:00,0,1,0,1,1,1,1,1,1,0,1,1,0,0,1,0,0,1,1,1,0,0,0,0,0,0,1,1,1,1,0,0,1,1,0,0,0,1,1
174,Mushlya Bar / Мушля бар,Ресторан,$$,"4,3",(2 460),10:00–23:00,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,1,1,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,1,0,1,0
175,Чорноморка Поділ,Рибний ресторан,$$,"4,6",(2 549),09:00–23:00,1,1,0,0,1,1,0,0,1,0,1,1,1,0,1,0,0,1,1,1,0,0,0,0,1,1,1,1,1,0,0,1,1,1,0,1,0,1,0
176,Містер Кет,Піцерія,$$,"3,8",(7 268),Відкрито 24 години,0,0,0,1,0,1,1,1,0,0,1,1,0,0,0,0,0,1,0,1,1,0,1,0,0,0,1,0,1,1,1,0,0,0,0,0,0,1,1
177,Pesto Cafe,Ресторан італійської кухні,$$,"4,3",(2 406),10:00–23:00,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
178,Fish Dash,Ресторан середземноморської кухні,$$,"4,6",(313),12:00–01:00,1,1,1,1,1,1,0,1,1,0,1,1,1,0,1,0,1,1,1,1,1,0,0,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,0
179,Любчик на Бессарабці / Lyubchik restaurant,Ресторан,$$,"4,3",(629),09:00–23:00,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
180,Dogz&Burgerz / Догз&Бургерз,Ресторан,$$,"4,1",(253),10:00–23:00,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
181,Селёдочная,Ресторан,$$,"4,6",(818),11:00–23:00,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
182,Ресторан Garden,Ресторан,$$,"4,6",(413),12:00–00:00,1,1,1,0,1,1,0,0,1,0,1,1,0,0,1,0,0,1,1,1,1,0,1,0,1,1,0,1,1,0,0,1,1,0,1,0,0,1,0
183,Vano Ivano Georgian Village,Ресторан,$$,"4,4",(335),11:00–23:00,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
184,Закарпатська колиба,Ресторан української кухні,$$,"4,3",(944),11:00–00:00,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
185,Kyiv Food Market,Ресторан,$$$,"4,5",(2 024),08:00–23:00,1,1,0,0,1,0,0,1,0,0,1,1,1,0,1,0,0,0,1,1,1,1,1,0,0,1,0,0,1,1,1,0,1,1,1,0,0,1,0
186,Buffalo,Більярд,$$,"4,6",(626),12:00–01:00,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
187,Fish Dash,Ресторан середземноморської кухні,$$,"4,6",(313),12:00–01:00,1,1,1,1,1,1,0,1,1,0,1,1,1,0,1,0,1,1,1,1,1,0,0,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,0
188,Sam's Steak House,Стейк-хаус,$$$,"4,5",(1 404),10:00–23:00,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
189,VANO IVANO - ресторан грузинской кухни в центре Киева,Ресторан грузинської кухні,$$,"4,5",(905),09:00–23:00,1,1,0,0,1,1,1,1,1,0,1,1,1,0,1,0,0,1,1,1,1,0,0,0,0,0,0,1,1,0,0,1,1,1,1,1,0,1,0
190,Шинок,Ресторан української кухні,$$$,"4,5",(784),11:00–23:00,1,1,0,1,1,1,1,1,1,0,1,1,1,0,1,0,0,1,1,1,1,0,1,0,0,1,0,1,1,1,1,0,1,1,1,1,0,1,0
191,Rock’n’Roльник Паб,Пивний ресторан,$,"4,7",(499),11:00–23:00,1,1,0,0,1,1,0,0,1,0,1,1,0,0,1,0,0,1,1,1,1,0,1,1,0,1,1,1,1,0,0,0,1,0,1,0,0,1,0
192,100 років тому вперед,Ресторан української кухні,$$,"4,7",(786),11:00–23:00,1,1,0,0,1,0,0,1,1,0,1,1,0,0,1,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,1,1,1,1,0,1,0
193,MAFIA,Ресторан,$$,"3,7",(2 045),11:00–05:00,0,1,1,1,1,1,1,1,0,0,1,1,0,0,1,0,0,1,1,1,1,0,0,0,0,0,1,1,1,0,0,0,1,1,0,0,0,1,1
194,Євразія,Ресторан японської кухні,$$,"4,1",(3 171),10:00–05:00,0,1,0,1,1,1,1,1,1,0,1,1,0,0,1,0,0,1,1,1,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,1,1
195,William's Club Kyiv,Нічний клуб,$$$,"4,2",(922),12:00–02:00,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,1
196,Черноморка Мельникова,Ресторан,$$,"4,5",(878),09:00–23:00,1,1,0,0,1,1,0,0,1,0,1,1,1,0,1,0,0,1,1,1,1,0,0,0,0,1,0,1,1,0,0,0,1,0,1,1,0,1,1
197,Піцерія ItaliAnna,Піцерія,$$,"4,5",(247),12:00–23:00,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
198,Menya Musashi,Ресторан автентичної японської кухні,$$,"4,6",(319),11:00–23:00,1,1,0,1,1,1,1,1,0,0,1,1,0,0,1,1,0,1,1,1,0,0,1,0,1,1,1,1,1,1,0,0,1,0,0,0,1,1,0
199,Товстий і Тонкий,Ресторан,$$$,"4,6",(609),12:00–00:00,1,1,0,0,1,1,0,1,1,0,1,1,0,1,1,0,0,1,1,1,1,0,0,1,0,1,1,1,1,0,0,1,1,0,1,1,0,1,1
200,VANO IVANO SHOTA RUSTAVELI - ресторан грузинской кухни в Киеве,Ресторан грузинської кухні,$$,"4,5",(493),11:00–23:00,1,1,0,0,1,1,1,1,1,0,1,1,0,0,1,0,0,1,1,1,1,0,0,0,0,0,0,1,1,0,0,0,1,1,1,0,0,1,0
201,Апельсин,Ресторан,$$,"4,2",(642),11:00–23:00,1,1,0,0,1,1,0,0,1,0,1,1,0,0,1,0,0,1,1,1,1,0,1,0,1,1,0,1,1,0,0,0,1,0,1,1,0,1,1
202,Любимый Дядя,Ресторан близькосхідної кухні,$$$,"4,7",(4 321),08:00–23:00,1,1,0,0,0,1,1,1,0,0,1,1,0,1,1,0,0,1,1,1,1,0,1,0,0,0,0,1,1,0,0,0,1,1,1,1,0,1,0
203,Fish Dash,Ресторан середземноморської кухні,$$,"4,6",(313),12:00–01:00,1,1,1,1,1,1,0,1,1,0,1,1,1,0,1,0,1,1,1,1,1,0,0,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,0
204,Суші майстер,Ресторан суші,$$,"3,7",(137),10:00–22:00,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
205,Файна Фамілія,Ресторан,$$,"4,6",(1 343),09:00–23:00,1,1,0,0,1,1,1,1,1,0,1,1,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,0,0,1,0
206,Chicken Kyiv,Ресторан,$$,"4,5",(2 246),08:00–23:00,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1
207,il Molino,Піцерія,$$,"4,5",(1 664),11:00–23:00,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0
208,Toscana Grill,Ресторан італійської кухні,$$$,"4,6",(1 497),09:00–00:00,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0
209,Руккола,Ресторан італійської кухні,$$,"4,3",(2 127),09:00–00:00,1,1,0,0,1,0,1,1,0,0,1,1,0,0,1,0,0,1,1,1,0,0,0,0,0,0,1,1,1,0,0,0,1,1,1,0,0,1,0
210,VANO IVANO Patio,Ресторан грузинської кухні,$$,"4,5",(594),11:00–23:00,0,1,0,0,1,1,1,1,1,0,1,1,0,0,1,1,0,1,1,1,1,0,1,1,0,0,1,1,1,0,0,1,1,1,1,1,0,1,0
211,Отаманша,Ресторан,$$,"4,6",(1 248),10:00–23:00,1,0,1,0,1,1,1,1,0,0,1,1,1,1,1,0,0,1,1,1,1,0,1,0,0,0,1,0,1,0,1,0,0,1,0,0,0,1,1
212,Євразія,Ресторан європейської кухні,$$,"4,2",(2 213),10:00–23:00,0,1,0,1,1,0,1,1,1,0,1,1,0,0,1,0,0,1,1,1,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0
213,Любчик на Воздвиженці,Ресторан,$$$,"4,4",(2 378),09:00–23:00,0,0,0,0,0,0,1,1,0,0,1,1,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1
214,Fish Dash,Ресторан середземноморської кухні,$$,"4,6",(313),12:00–01:00,1,1,1,1,1,1,0,1,1,0,1,1,1,0,1,0,1,1,1,1,1,0,0,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,0
215,Любчик на Воздвиженці,Ресторан,$$$,"4,4",(2 378),09:00–23:00,0,0,0,0,0,0,1,1,0,0,1,1,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1
