,name,category,cost,rating,num_of_rates,open_hours,Wi-Fi,Десерт,Паркувальний майданчик для людей на інвалідних візках,Години знижок на їжу,Підходить для сімейного відпочинку,Пізні вечері,Дитяче меню,Є вегетаріанські страви,Дебетові картки,Салат-бар,Пиво,Груповий відпочинок,Органічні страви,Камін,Обіди,Оплата лише готівкою,Халяльна їжа,Затишне місце,Туалет,Невимушена атмосфера,Бар,Туалет із доступом для інвалідів,Високі стільці,Спортивні змагання,"Компанії, якими керують жінки",Мобільні платежі через NFC,Доставка,Місця для сидіння,Підходить для дітей,Вхід для людей на інвалідних візках,Місця для людей на інвалідних візках,Жива музика,Вечері,Сніданки,Кредитні картки,Літній майданчик,Чеки,Вино,Смачні коктейлі
24,Брускета Позняки,Ресторан,$$,"4,6",(420),10:00–23:00,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
25,Сито-п'яно,Ресторан,$$,"4,6",(602),11:00–23:00,1,1,0,0,1,1,1,1,0,1,1,1,1,0,1,0,0,1,1,1,1,0,0,1,0,0,1,1,1,0,0,1,1,1,1,1,1,1,1
26,Ресторан «Мон-Шер»,Ресторан,$$,"4,9",(206),11:00–02:00,1,1,0,1,1,0,0,0,1,0,1,1,0,0,1,0,0,1,1,1,1,0,0,0,0,0,0,1,1,0,0,1,1,1,0,1,0,1,0
27,Багратіоні,Ресторан грузинської кухні,$$,"3,9",(155),11:00–23:00,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
28,Чачапурі,Ресторан,$$,"4,7",(525),11:00–23:00,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0
29,Козачок,Ресторан,$$$,"4,2",(463),10:00–00:00,0,0,0,0,0,1,1,1,0,0,1,1,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1
30,ЯпонаХата 🍣 Заказать суши и роллы в Киеве,Ресторан японської кухні,$$,"4,2",(658),10:00–22:00,0,1,0,1,1,0,1,0,1,0,1,1,0,0,1,0,0,1,1,1,0,0,0,0,0,0,1,1,1,0,0,0,1,1,0,0,0,1,0
31,Ресторан Грузинской кухни КВЕВРИ,Ресторан грузинської кухні,$$,"4,2",(48),11:00–23:00,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0
32,"Хата рибака, кафе",Ресторан української кухні,$$,"4,0",(1 013),11:00–23:00,0,0,1,0,0,1,1,1,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1
33,Bootlegger restaurant & bar,Ресторан,$$$,"4,6",(754),09:00–23:00,1,1,0,0,0,1,1,1,1,0,1,1,1,0,1,0,0,1,1,1,1,0,1,0,0,1,0,1,1,0,1,0,1,0,1,1,0,1,1
34,Конунг,Ресторан,$$,"4,1",(920),12:00–05:00,1,1,0,0,0,1,1,1,0,0,1,1,0,1,1,0,0,1,0,1,1,0,1,1,0,1,0,0,1,0,0,1,1,0,0,1,0,1,1
35,Fish Dash,Ресторан середземноморської кухні,$$,"4,6",(313),12:00–01:00,1,1,1,1,1,1,0,1,1,0,1,1,1,0,1,0,1,1,1,1,1,0,0,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,0
36,Пивна Ресторація «НАЖИВО»,Пивний паб,$$,"4,2",(155),11:00–23:00,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,Даял,Піцерія,$$,"4,2",(87),11:00–22:00,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
38,Pizza&Pasta TRATTORIA,Ресторан італійської кухні,$$,"4,5",(177),10:00–22:00,1,1,0,1,1,1,0,1,0,0,1,1,1,0,1,0,0,1,1,1,1,0,1,1,0,0,1,1,1,0,0,0,1,1,0,1,0,1,0
39,Євразія,Ресторан японської кухні,$$,"4,3",(2 399),11:00–05:00,0,1,0,1,1,1,1,1,1,0,1,1,0,0,1,0,0,1,1,1,1,0,0,0,0,0,1,1,1,0,0,0,1,0,0,1,0,1,1
40,Таверна,Ресторан грецької кухні,$$$,"4,4",(1 080),12:00–23:00,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,1,1,0,0,0,0,0,1,1,1,0,0,1,1,0,0,1,0,1,0
41,Meatbusters,Ресторан,$$,"4,6",(453),12:00–23:00,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,1,0,1,0,1,1,0,0,0,0,0,0,1,1,1,0,0,1,1,0,0,0,1,0
42,Spezzo,Ресторан,$$,"4,4",(1 416),10:00–00:00,0,0,0,0,0,0,1,1,1,0,1,1,0,0,1,0,0,1,0,1,1,0,0,0,0,0,1,1,1,1,0,1,1,1,0,0,0,1,1
43,Рибна лавка,Ресторан,$$,"4,6",(1 011),09:00–23:00,1,0,0,0,1,1,0,0,1,0,1,1,1,0,1,0,0,1,0,1,1,0,0,0,0,1,1,1,1,0,0,0,1,0,0,1,0,1,0
44,VANO IVANO TELBIN Georgian restaurant,Ресторан грузинської кухні,$$,"4,4",(1 653),11:00–00:00,1,1,0,0,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,0,1,0,0,1,0,1,1,0,0,1,1,1,1,1,0,1,1
45,Жовтий Жираф,Сімейний ресторан,$$,"4,3",(358),10:00–22:00,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1
46,This is Пивбар на Харківському,Пивний ресторан,$$,"4,7",(6 826),11:00–02:00,1,1,0,1,1,1,0,1,1,0,1,1,0,0,1,0,0,1,1,1,1,0,0,1,0,1,1,1,1,1,0,1,1,1,1,1,0,1,1
47,Веранда,Ресторан,$$$$,"4,6",(1 733),12:00–00:00,1,1,0,0,1,1,1,1,1,0,1,1,1,0,1,0,0,1,1,1,1,0,0,0,1,0,0,1,1,1,0,1,1,0,1,1,0,1,1
48,Good Chef,Піцерія,$$,"4,6",(566),10:00–23:00,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0
49,Маяк,Ресторан,$$$,"4,6",(1 113),12:00–00:00,1,1,0,0,1,1,1,0,1,0,1,1,0,1,1,0,0,1,1,1,1,0,1,1,1,1,0,1,1,0,0,1,1,1,0,1,0,1,1
